Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,previsão
2021-01-06,28.19516395683865,28.205095555957744,27.092782974243168,27.092782974243164,1541100,0.0,0.0,27.479166
2021-01-07,27.26161556704609,27.370859365617783,26.626006501974548,26.78490829467773,1525200,0.0,0.0,26.430538
2021-01-08,26.84449811463669,29.00953553209021,26.675664721679524,28.82084083557129,1740300,0.0,0.0,26.172058
2021-01-11,28.61228068924858,28.731457980423134,28.13557531306792,28.39379119873047,1619400,0.0,0.0,28.096424
2021-01-12,28.51296829312372,29.198233496091408,28.18523309070594,28.96981239318848,1580300,0.0,0.0,27.437561
2021-01-13,28.930084483295328,29.23795836512247,28.433515905939178,28.860565185546875,1039100,0.0,0.0,28.227026
2021-01-14,28.86056586632225,30.29068393323466,28.75132206482299,30.24102783203125,1423900,0.0,0.0,28.020779
2021-01-15,30.241026999537915,31.08519206231017,29.665007527844757,30.46944808959961,1487800,0.0,0.0,29.399307
2021-01-18,30.638282639474085,30.98588103424864,29.635213851928707,29.63521385192871,1390800,0.0,0.0,29.46981
2021-01-19,29.65507698059082,29.9629489778632,29.357134688230804,29.65507698059082,472900,0.0,0.0,28.783842
2021-01-20,30.11191924771497,30.62835104027951,29.50610495665814,29.63521385192871,603200,0.0,0.0,28.910175
2021-01-21,29.784182898721895,29.79411449753213,28.25475267286315,28.37392807006836,1190500,0.0,0.0,28.80977
2021-01-22,28.1057816379681,28.284546634732237,27.63900784195197,28.085920333862305,793100,0.0,0.0,27.59222
2021-01-26,28.11571317207437,28.701664262663307,27.86742887586749,28.62221336364746,1567400,0.0,0.0,27.44817
2021-01-27,28.56262505544192,28.91022344159013,28.01639847884936,28.26468276977539,563400,0.0,0.0,27.883575
2021-01-28,28.38386050177924,29.3174099804886,28.20509550646693,29.18830108642578,862300,0.0,0.0,27.450924
2021-01-29,29.04926174059376,29.287614430128603,28.30440887545033,28.87049674987793,665400,0.0,0.0,28.431328
2021-02-01,29.436586191748937,29.436586191748937,28.24482268061553,28.4533805847168,1759300,0.0,0.0,27.99521
2021-02-02,28.47324213134568,29.59548627599529,28.47324213134568,28.91022300720215,919900,0.0,0.0,27.710155
2021-02-03,29.088989257812504,29.416724455344557,28.53283106652385,29.0889892578125,4695800,0.0,0.0,28.168041
2021-02-04,29.386929798872277,29.744459795810357,28.880429601296285,29.04926300048828,749200,0.0,0.0,28.252834
2021-02-05,29.148577287784374,29.43658609164848,28.93008589079207,28.99960708618164,1078700,0.0,0.0,28.238262
2021-02-08,29.009537085342444,29.59548819261086,28.52290007823559,28.92015647888184,661300,0.0,0.0,28.211317
2021-02-09,28.910224002438667,28.910224002438667,27.827704321459944,28.11571311950684,1278100,0.0,0.0,28.136183
2021-02-10,28.13557625638294,28.155439454621124,26.76504778034848,27.092782974243164,3751700,0.0,0.0,27.356455
2021-02-11,27.092783846217728,27.3708610534668,26.755117042336224,27.3708610534668,1601200,0.0,0.0,26.427843
2021-02-12,27.25168543217987,27.25168543217987,26.626007932323244,26.914018630981445,1441800,0.0,0.0,26.750229
